FlushFlashMemory command sent, waiting for new packets
01:35:561	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 5 50 212 104
01:35:561	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 6 50 210 84
01:35:562	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 7 50 214 106
01:35:562	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 8 50 213 99
01:35:572	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 9 50 217 107
01:35:592	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 10 50 220 107
01:35:701	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 11 50 219 108
01:35:701	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 12 50 220 108
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 13 50 219 106
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 14 50 220 107
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 15 50 220 106
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 16 50 219 108
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 17 50 216 107
01:35:702	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 18 50 220 107
01:35:813	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 19 50 219 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 20 50 219 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 21 50 220 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 22 50 220 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 23 50 220 105
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 24 50 220 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 25 50 220 107
01:35:814	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 26 50 220 108
01:35:868	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 27 50 219 107
01:35:868	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 28 50 219 108
01:35:868	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 29 50 219 107
01:35:868	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 30 50 220 107
01:35:869	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 31 50 220 107
01:35:881	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 32 50 220 107
01:35:998	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 33 50 220 106
01:35:998	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 34 50 220 108
01:35:998	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 35 50 220 106
01:35:998	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 36 50 220 107
01:35:998	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 37 50 219 105
01:35:999	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 38 50 220 108
01:35:999	Tue Apr 10 01:01:35 PDT 2012 15 3 41 0 2 39 50 220 104
01:36:00	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 40 50 220 108
01:36:106	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 41 50 220 108
01:36:106	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 42 50 220 107
01:36:107	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 43 50 220 107
01:36:107	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 44 50 219 107
01:36:108	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 45 50 220 106
01:36:108	Tue Apr 10 01:01:36 PDT 2012 15 3 41 0 2 46 50 220 108
